target,itemID,condition,lastOnScreen,test,distanceSec,boundaryScore,norm_RT,norm_acc,phase2_RT,subjID,phase2_acc
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1282.18412399,1,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1507.18593597,2,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1282.74083138,3,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1145.21408081,4,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1221.17590904,5,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1542.76680946,6,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1524.13797379,7,1
Baby mobile (ctrl),4,2,0:12,0:18,6,13.0,1823.8055555555557,0.8780487804878049,1014.39094543,8,1
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,,1,0
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,2040.5960083,2,1
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,1456.45189285,3,1
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,,4,0
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,2918.29586029,5,1
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,2524.34206009,6,1
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,,7,0
Desk and chair (non-ctrl),5,2,1:13,1:20,7,13.0,1788.2307692307693,0.8666666666666667,,8,0
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,969.5827960969999,1,1
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,1065.96899033,2,1
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,,3,0
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,958.549976349,4,1
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,747.330904007,5,1
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,1137.02702522,6,1
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,1015.17701149,7,1
Cereal bowl (ctrl),6,2,1:59,2:06,7,17.0,1432.7142857142858,0.8235294117647058,997.055053711,8,1
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,,1,0
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,1274.65891838,2,1
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,1222.80097008,3,1
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,938.555955887,4,1
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,,5,0
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,,6,0
Tank (non-ctrl),1,1,2:08,2:15,7,1.0,1396.25,0.7567567567567568,2817.69895554,7,1
